dat;pop;ml;ur;zg
2010-01-01;NA;8.2;38.8;33.7
2010-02-01;NA;5.9;34.4;29.7
2010-03-01;NA;4.6;30.3;31.7
2010-04-01;NA;19.1;36.6;31.0
2010-05-01;NA;15.3;38.3;31.4
2010-06-01;NA;32.7;29.5;29.9
2010-07-01;NA;29.6;40.1;32.2
2010-08-01;NA;38.4;37.7;30.1
2010-09-01;NA;33.8;29.6;30.3
2010-10-01;NA;25.7;36.6;33.5
2010-11-01;NA;5.6;34.5;31.1
2010-12-01;NA;9.6;27.0;33.8
2011-01-01;NA;6.0;32.1;34.5
2011-02-01;NA;5.4;29.4;31.7
2011-03-01;NA;8.3;33.8;35.0
2011-04-01;NA;7.7;29.6;30.5
2011-05-01;NA;17.9;32.3;31.9
2011-06-01;38526;31.4;32.8;28.6
2011-07-01;38532;22.8;34.1;27.7
2011-08-01;38537;38.5;37.4;31.4
2011-09-01;38543;31.2;34.6;28.7
2011-10-01;38542;22.1;32.3;31.8
2011-11-01;38541;6.2;30.8;31.1
2011-12-01;38538;8.8;29.4;32.6
2012-01-01;38536;6.2;32.3;34.1
2012-02-01;38533;5.5;30.7;33.0
2012-03-01;38532;4.7;31.8;32.7
2012-04-01;38530;14.8;32.1;33.7
2012-05-01;38532;13.5;34.4;31.6
2012-06-01;38534;28.1;30.8;28.9
2012-07-01;38536;25.3;35.0;32.3
2012-08-01;38541;34.9;35.3;30.1
2012-09-01;38545;31.3;31.3;27.1
2012-10-01;38544;24.0;34.8;34.2
2012-11-01;38543;5.1;30.5;31.3
2012-12-01;38533;10.5;27.2;35.7
2013-01-01;38525;5.1;33.4;40.5
2013-02-01;38518;3.9;27.6;32.7
2013-03-01;38512;4.1;29.3;33.5
2013-04-01;38506;13.8;31.2;36.1
2013-05-01;38503;10.8;30.3;30.8
2013-06-01;38502;25.1;29.7;28.2
2013-07-01;38505;23.1;35.5;31.5
2013-08-01;38507;31.5;32.6;28.6
2013-09-01;38507;30.0;32.3;30.0
2013-10-01;38506;19.5;32.2;32.5
2013-11-01;38503;4.3;27.6;29.3
2013-12-01;38496;9.3;27.9;33.9
2014-01-01;38494;4.8;32.5;33.1
2014-02-01;38491;4.6;28.6;30.7
2014-03-01;38486;6.2;29.8;33.8
2014-04-01;38483;9.8;30.5;31.7
