dat;goods;kgoods;dgoods;persons;kpersons;dpersons;lpersons
2010-01-01;27925;14021;8722;72454;21789;50388;267
2010-02-01;29278;15311;8781;71860;21111;50494;248
2010-03-01;34031;18213;10426;80043;22315;57381;338
2010-04-01;32918;17080;10359;74245;22074;51907;245
2010-05-01;33803;17400;10555;70563;22319;47726;460
2010-06-01;34833;17969;10857;67701;21218;45840;533
2010-07-01;36590;18850;11350;52201;20906;30475;602
2010-08-01;36846;19096;11274;52380;21465;30130;582
2010-09-01;37051;19949;11396;73698;21822;51283;551
2010-10-01;38975;20938;11813;76944;23267;53187;472
2010-11-01;37408;20191;11420;74312;22048;51893;363
2010-12-01;32807;16989;10205;70250;20964;48948;329
2011-01-01;34822;19095;10754;70512;21939;48134;432
2011-02-01;35152;18593;11289;67703;20727;46569;404
2011-03-01;39815;21555;12492;74645;22386;51775;478
2011-04-01;38324;20098;12479;70037;21425;48093;506
2011-05-01;39652;21443;12801;72097;23236;48203;606
2011-06-01;39406;21398;13099;64725;21043;42912;661
2011-07-01;40105;21160;13622;49437;20513;28047;689
2011-08-01;40733;21453;13837;51833;21707;29340;602
2011-09-01;40975;21215;14321;70984;21938;48371;636
2011-10-01;42257;21196;14627;73916;24038;49268;595
2011-11-01;40413;20809;13824;71959;23256;48245;442
2011-12-01;37859;20476;12356;67775;21387;45928;440
2012-01-01;35958;18207;12633;68570;23207;44874;472
2012-02-01;33938;16672;12634;66221;21767;43966;478
2012-03-01;39178;19837;13766;74869;23167;51172;513
2012-04-01;37628;18486;13902;67183;22337;44234;581
2012-05-01;39637;19552;14132;68999;24074;44183;656
2012-06-01;37517;18396;13898;63762;22804;40167;701
2012-07-01;38233;19064;14526;48655;21840;25894;719
2012-08-01;39660;19917;14575;49923;21819;27198;714
2012-09-01;40815;20275;14995;67003;22815;43433;699
2012-10-01;42860;21682;15586;72291;25149;46477;641
2012-11-01;40375;20831;14138;68443;23558;44360;509
2012-12-01;34955;17902;12074;62471;20635;41330;487
2013-01-01;34208;17141;12254;64286;22282;41456;532
2013-02-01;33366;16500;12490;62334;21437;40372;512
2013-03-01;37118;18888;13176;64350;21971;41762;598
2013-04-01;35890;18536;13320;66150;23317;42214;593
2013-05-01;37274;18995;13527;64391;23071;40607;636
2013-06-01;38941;19013;14290;60746;21814;38109;716
2013-07-01;41138;20350;15051;48160;22350;24859;745
2013-08-01;40584;20273;14641;47498;21715;24853;721
2013-09-01;41364;20418;15315;64745;22844;41102;745
2013-10-01;44437;22365;16098;68458;24763;42971;698
2013-11-01;40822;20579;14623;65605;23251;41739;598
2013-12-01;37637;19507;13004;61476;20999;39903;554
2014-01-01;35773;17658;13347;62740;23042;39325;312
2014-02-01;35082;16741;13729;60071;22140;37570;306
2014-03-01;38585;18962;14441;63009;23418;39115;418
2014-04-01;38851;18402;15034;61830;22543;38720;489
2014-05-01;38890;18653;15452;63690;23497;38907;1170
2014-06-01;38104;17802;15954;58727;21604;36091;878
2014-07-01;41163;19539;16745;46114;21614;23231;1023
2014-08-01;41250;19067;16481;45766;21636;22873;1013
2014-09-01;43852;20874;17313;62123;22315;38757;942
2014-10-01;45954;21687;18230;65250;23796;40926;452
2014-11-01;41089;19974;16295;61947;22348;39138;403
2014-12-01;38426;18461;14773;57569;20251;36863;382
2015-01-01;36011;16260;14909;54779;22325;31987;428
2015-02-01;34563;15293;14764;53508;21415;31653;415
2015-03-01;40355;18745;16275;58691;24100;34035;521
2015-04-01;40006;18065;16563;57406;23411;33393;549
2015-05-01;40656;18820;16283;58335;24551;32978;724
2015-06-01;41079;18737;16908;55156;23052;31040;941
2015-07-01;42457;19346;17808;42925;22732;18893;1064
2015-08-01;41932;18778;17717;42705;22548;18867;1062
2015-09-01;44740;20571;18122;56949;21934;33897;1041
2015-10-01;45618;21264;18212;60179;25041;34342;745
2015-11-01;42797;20114;17272;58588;24210;33798;550
2015-12-01;39478;18327;15482;54614;22002;32049;522
2016-01-01;35848;15694;15243;54405;23314;30494;558
2016-02-01;37694;16446;16424;55296;23363;31320;588
2016-03-01;40850;17831;17529;57808;24671;32433;665
2016-04-01;40874;17677;18189;57434;24497;32121;765
2016-05-01;40891;17669;17837;58211;25371;31831;896
2016-06-01;43034;18808;19140;55707;24300;30072;1193
2016-07-01;43215;18868;18702;43493;25328;16580;1310
2016-08-01;44472;19181;19041;45047;24136;19254;1373
2016-09-01;45137;20002;19711;56133;23242;31488;1299
2016-10-01;45683;20574;19577;58316;25628;31754;883
2016-11-01;45033;20116;19345;56502;24571;31171;727
2016-12-01;43471;19657;18514;54081;23560;29745;732
2017-01-01;40310;17040;18048;55730;25678;29299;713
2017-02-01;39321;16842;18135;52470;23503;28238;700
2017-03-01;45423;20360;20008;57312;26434;30018;828
2017-04-01;43736;19301;19355;54122;25055;28105;896
2017-05-01;45320;20425;20156;56653;26751;28700;1100
2017-06-01;46182;20032;21173;53792;25717;26500;1410
2017-07-01;47487;20499;21580;43594;25196;16141;1898
2017-08-01;48144;21026;21260;43778;24865;16779;1775
2017-09-01;48734;20837;22093;55243;24072;29470;1595
2017-10-01;49710;21664;22080;58087;26493;30337;1204
2017-11-01;48806;21327;21712;55793;24833;30001;923
2017-12-01;45752;20148;19831;53261;24404;27896;915
2018-01-01;47344;20818;20993;53536;25031;27567;898
2018-02-01;45882;19327;21581;51482;23126;27393;939
2018-03-01;50261;21583;22837;54017;24357;28587;1035
2018-04-01;48968;20398;23202;54195;25221;27811;1107
2018-05-01;50487;20652;24440;56098;26708;27823;1450
2018-06-01;52062;20701;26138;53487;25898;25549;1887
2018-07-01;52848;21126;26533;45712;26298;16886;2127
2018-08-01;51120;21005;24579;45623;26234;16875;2110
2018-09-01;51029;20522;25186;51163;25846;23168;2049
2018-10-01;53611;22505;25553;57462;28433;27612;1361
2018-11-01;52365;21405;25537;52990;27186;24892;1070
2018-12-01;47906;19218;23429;48968;25384;24581;1046
2019-01-01;47340;19464;22557;52178;26486;24669;980
2019-02-01;46470;18797;22605;50693;25175;24480;1009
2019-03-01;50792;21084;24394;54345;28119;25015;1177
2019-04-01;50223;19947;25225;52298;26477;24561;1194
2019-05-01;50431;19377;27051;54573;28400;24531;1503
2019-06-01;49024;18482;26052;50905;27268;21738;1687
2019-07-01;51989;20377;26099;43559;28006;13301;1812
2019-08-01;50467;19160;25900;44070;28212;13556;1817
2019-09-01;49570;19409;24845;54468;28752;23866;1716
2019-10-01;53756;21045;27256;57981;31156;25299;1462
2019-11-01;51318;19489;26477;53993;29348;23430;1177
2019-12-01;46651;17116;24116;51099;27865;22048;1142
2020-01-01;44483;16822;22449;50497;28500;21008;948
2020-02-01;45582;17572;23052;49116;27507;20723;857
2020-03-01;47838;18847;23753;32498;17736;14338;401
2020-04-01;43379;16281;22397;11455;6097;5331;13
2020-05-01;43174;16074;22277;14826;9802;4986;7
2020-06-01;44477;16935;22609;21523;14533;6884;28
2020-07-01;46257;18154;23114;26458;18819;7061;360
2020-08-01;45074;18499;21428;29107;20069;8246;556
2020-09-01;47412;19253;22928;37469;19782;17236;357
