dat;zboza;zywiec;drob;mleko
2010-01-01;357.6;166.5;117.1;680.2
2010-02-01;433.8;157.7;108.8;625.0
2010-03-01;437.7;197.9;128.9;714.6
2010-04-01;404.6;169.3;118.6;734.5
2010-05-01;448.1;178.8;119.3;799.3
2010-06-01;407.9;184.1;124.2;788.8
2010-07-01;352.5;181.9;124.3;798.7
2010-08-01;1343.5;180.0;120.9;788.1
2010-09-01;934.4;200.9;136.8;749.6
2010-10-01;631.1;205.8;135.6;717.5
2010-11-01;479.8;211.2;138.7;652.2
2010-12-01;346.2;208.0;133.7;676.5
2011-01-01;403.7;193.4;125.6;703.1
2011-02-01;517.4;182.1;109.8;644.5
2011-03-01;412.8;208.2;127.9;731.4
2011-04-01;277.6;195.2;123.3;731.1
2011-05-01;294.8;195.0;130.9;818.0
2011-06-01;227.3;192.3;135.5;823.0
2011-07-01;342.0;179.9;115.3;805.5
2011-08-01;1547.4;195.7;131.2;796.8
2011-09-01;1051.0;195.3;134.9;762.6
2011-10-01;528.4;202.4;138.3;751.6
2011-11-01;444.1;200.8;137.2;707.0
2011-12-01;383.2;216.2;165.0;738.1
2012-01-01;342.4;197.2;165.5;768.5
2012-02-01;385.2;174.4;137.6;717.2
2012-03-01;420.8;191.5;146.9;796.4
2012-04-01;324.6;178.0;142.0;829.8
2012-05-01;392.2;189.0;146.2;879.5
2012-06-01;308.7;174.2;138.8;844.1
2012-07-01;570.4;173.9;138.5;842.6
2012-08-01;1936.4;184.7;150.9;835.6
2012-09-01;821.8;173.2;139.0;786.3
2012-10-01;614.0;204.5;163.5;767.0
2012-11-01;539.8;192.9;153.6;708.9
2012-12-01;357.4;179.8;137.0;740.4
2013-01-01;313.0;196.1;153.4;759.6
2013-02-01;403.9;178.7;141.7;703.8
2013-03-01;312.8;191.3;150.1;789.4
2013-04-01;270.2;196.1;158.1;793.1
2013-05-01;392.9;190.2;151.2;865.4
2013-06-01;270.0;178.6;143.0;834.7
2013-07-01;408.6;197.9;161.5;866.0
2013-08-01;1473.6;185.3;152.1;841.8
2013-09-01;785.5;189.0;152.9;798.8
2013-10-01;912.9;215.8;178.9;792.7
2013-11-01;565.0;200.8;166.4;745.8
2013-12-01;464.6;194.3;157.5;786.5
2014-01-01;401.1;208.9;175.8;809.2
2014-02-01;514.3;182.0;148.3;757.3
2014-03-01;562.3;215.4;167.9;852.3
2014-04-01;545.1;231.9;182.0;850.0
2014-05-01;464.2;209.3;175.3;932.7
2014-06-01;253.3;208.2;171.5;910.8
2014-07-01;934.7;225.1;183.3;932.1
2014-08-01;1827.7;208.1;164.7;912.5
2014-09-01;966.4;237.1;185.9;865.7
