dat;persons;zpersons;nights;znights
2010-03-01;3729.3;660.0;9316.6;1647.0
2010-06-01;5454.7;1137.2;13713.9;2719.9
2010-09-01;6821.5;1486.5;22433.7;3633.3
2010-12-01;4456.0;851.3;10330.3;2064.4
2011-03-01;3987.4;706.5;10001.0;1743.6
2011-06-01;5888.5;1219.4;14605.9;2900.7
2011-09-01;7342.1;1583.8;23174.1;3852.2
2011-12-01;4793.6;932.4;11192.9;2230.5
2012-03-01;4288.4;805.4;10923.1;1963.7
2012-06-01;5939.6;1396.3;15159.1;3282.0
2012-09-01;7557.3;1723.6;24406.3;4133.0
2012-12-01;4850.1;1054.0;11526.3;2497.8
2013-03-01;4206.7;872.8;10756.9;2117.8
2013-06-01;6233.0;1443.2;15312.9;3344.6
2013-09-01;7834.4;1809.6;24824.9;4351.8
2013-12-01;5127.1;1117.4;12064.7;2657.1
2014-03-01;4543.2;903.6;11325.0;2147.0
2014-06-01;6659.3;1517.9;16408.7;3532.7
2014-09-01;8334.6;1874.7;25937.9;4522.1
2014-12-01;5546.9;1174.1;12908.0;2790.5
2015-03-01;4888.4;945.8;12261.5;2315.0
2015-06-01;7123.9;1557.5;17363.8;3688.1
2015-09-01;9068.1;1969.9;27843.5;4750.2
2015-12-01;5861.6;1216.4;13765.7;3004.4
2016-03-01;5402.2;1092.3;13766.5;2685.5
2016-06-01;7952.5;1702.5;19406.1;4093.5
2016-09-01;10223.8;2202.8;31176.2;5417.3
2016-12-01;6529.9;1381.2;15045.1;3382.9
2017-03-01;5862.6;1135.6;14587.0;2802.6
2017-06-01;8383.1;1801.4;20614.1;4331.7
2017-09-01;10681.8;2323.6;32358.5;5788.0
2017-12-01;7061.8;1543.0;16321.4;3783.0
2018-03-01;6270.3;1276.3;15787.8;3228.1
2018-06-01;8870.0;1857.4;21780.0;4516.1
2018-09-01;11261.5;2340.2;33750.2;5922.6
2018-12-01;7494.1;1608.3;17542.4;4075.9
2019-03-01;6713.7;1297.6;16820.3;3284.6
2019-06-01;9347.0;1976.7;23193.2;4854.5
2019-09-01;11727.0;2484.7;34984.1;6290.1
2019-12-01;7880.4;1711.5;18345.1;4254.4
2020-03-01;5551.2;1015.1;14540.0;2646.7
2020-06-01;1787.8;114.5;4885.5;443.5
