dat;tc;tr;td;tt;nc;nr;nd;nt
2020-01-27;0;0;0;20;0;0;0;0
2020-01-28;0;0;0;28;0;0;0;8
2020-01-29;0;0;0;33;0;0;0;5
2020-01-30;0;0;0;34;0;0;0;1
2020-01-31;0;0;0;37;0;0;0;3
2020-02-01;0;0;0;38;0;0;0;1
2020-02-02;0;0;0;43;0;0;0;5
2020-02-03;0;0;0;48;0;0;0;5
2020-02-04;0;0;0;53;0;0;0;5
2020-02-05;0;0;0;53;0;0;0;0
2020-02-06;0;0;0;56;0;0;0;3
2020-02-07;0;0;0;62;0;0;0;6
2020-02-08;0;0;0;62;0;0;0;0
2020-02-09;0;0;0;64;0;0;0;2
2020-02-10;0;0;0;72;0;0;0;8
2020-02-11;0;0;0;74;0;0;0;2
2020-02-12;0;0;0;75;0;0;0;1
2020-02-13;0;0;0;76;0;0;0;1
2020-02-14;0;0;0;76;0;0;0;0
2020-02-15;0;0;0;77;0;0;0;1
2020-02-16;0;0;0;78;0;0;0;1
2020-02-17;0;0;0;80;0;0;0;2
2020-02-18;0;0;0;80;0;0;0;0
2020-02-19;0;0;0;82;0;0;0;2
2020-02-20;0;0;0;82;0;0;0;0
2020-02-21;0;0;0;82;0;0;0;0
2020-02-22;0;0;0;83;0;0;0;1
2020-02-23;0;0;0;86;0;0;0;3
2020-02-24;0;0;0;98;0;0;0;12
2020-02-25;0;0;0;112;0;0;0;14
2020-02-26;0;0;0;135;0;0;0;23
2020-02-27;0;0;0;170;0;0;0;35
2020-02-28;0;0;0;193;0;0;0;23
2020-02-29;0;0;0;200;0;0;0;7
2020-03-01;3;0;0;211;3;0;0;11
2020-03-02;3;0;0;262;0;0;0;51
2020-03-03;5;0;0;340;2;0;0;78
2020-03-04;6;0;0;407;1;0;0;67
2020-03-05;9;0;0;483;3;0;0;76
2020-03-06;20;0;0;594;11;0;0;111
2020-03-07;27;0;0;787;7;0;0;193
2020-03-08;33;0;0;928;6;0;0;141
2020-03-09;39;0;0;1193;6;0;0;265
2020-03-10;64;0;0;1358;25;0;0;165
2020-03-11;95;0;0;1816;31;0;0;458
2020-03-12;117;0;0;2353;22;0;0;537
2020-03-13;142;0;0;3198;25;0;0;845
2020-03-14;190;2;0;4184;48;2;0;986
2020-03-15;299;6;0;5212;109;4;0;1028
2020-03-16;384;6;0;6531;85;0;0;1319
2020-03-17;451;6;0;7825;67;0;0;1294
2020-03-18;561;6;0;9581;110;0;0;1756
2020-03-19;767;7;0;11840;206;1;0;2259
2020-03-20;891;10;0;13961;124;3;0;2121
2020-03-21;1050;15;0;15843;159;5;0;1882
2020-03-22;1165;15;1;17644;115;0;1;1801
2020-03-23;1291;19;1;19935;126;4;0;2291
2020-03-24;1476;23;3;22997;185;4;2;3062
2020-03-25;1768;27;10;27104;292;4;7;4107
2020-03-26;2027;36;10;31737;259;9;0;4633
2020-03-27;2404;51;12;37096;377;15;2;5359
2020-03-28;2667;57;17;41320;263;6;5;4224
2020-03-29;2826;72;23;44168;159;15;6;2848
2020-03-30;3010;100;28;49327;184;28;5;5159
2020-03-31;3314;121;35;55988;304;21;7;6661
2020-04-01;3597;165;43;62090;283;44;8;6102
2020-04-02;3865;203;49;68763;268;38;6;6673
2020-04-03;4198;268;57;76161;333;65;8;7398
2020-04-04;4481;312;66;81998;283;44;9;5837
2020-04-05;4598;353;74;86810;117;41;8;4812
2020-04-06;4834;452;82;93245;236;99;8;6435
2020-04-07;5030;574;92;101418;196;122;10;8173
2020-04-08;5324;685;107;109887;294;111;15;8469
2020-04-09;5581;867;117;118067;257;182;10;8180
2020-04-10;5744;1004;128;123769;163;137;11;5702
2020-04-11;5914;1136;136;128660;170;132;8;4891
2020-04-12;6003;1244;146;131910;89;108;10;3250
